id,ime_beli,ime_crni,rating_beli,rating_crni,rezultat,rating_spr,poteze,st_potez,leto,underdog,pravi_underdog
16069842,Ding Liren,Magnus Carlsen,2836,2881,0.5,0.6440049024042122,1. d4 Nf6 2. c4 e6 3. g3 d5,69,2021,1,0
16070458,Ding Liren,Magnus Carlsen,2788,2886,0.5,1.3740837674448452,1. d4 Nf6 2. c4 e6 3. g3 d5,39,2021,1,0
16112716,Ding Liren,Robert Hovhannisyan,2836,2613,0.5,-2.830774434096761,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5,34,2021,1,1
16117358,Ding Liren,Daniil Dubov,2836,2735,0.5,-1.4139011195561801,1. Nf3 d5 2. d4 Nf6 3. c4 c6,37,2021,1,1
16153549,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0.5,-0.4877433585974189,1. d4 Nf6 2. c4 e6 3. Nf3 d5,59,2021,1,0
16156483,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0.5,-0.4877433585974189,1. d4 Nf6 2. c4 e6 3. Nf3 c5,27,2021,1,0
16156491,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0.5,-0.4877433585974189,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,47,2021,1,0
16156499,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0.5,-0.4877433585974189,1. d4 d5 2. c4 dxc4 3. e4 e5,59,2021,1,0
16156519,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0.5,-0.4877433585974189,1. d4 Nf6 2. c4 e6 3. Nf3 c5,70,2021,1,0
16156587,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0.5,-0.4877433585974189,1. d4 Nf6 2. c4 e6 3. Nf3 d5,75,2021,1,0
16157993,Ding Liren,Lu Shanglei,2799,2616,0.5,-2.4143352296929956,1. c4 c6 2. Nf3 Nf6 3. d4 d5,32,2021,1,1
15792407,Levon Aronian,Ding Liren,2781,2791,1,5.143871841659986,1. e4 c5 2. Nf3 d6 3. d4 cxd4,33,2021,1,0
